#Projets
23
#NbGroupes
23
#Preferences
0;0;0;0;9;8;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;10;0
0;10;0;0;0;9;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0
7;9;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;6;0;0;0;8;0
7;0;9;8;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;6
0;10;0;0;0;0;7;0;0;0;0;0;0;0;0;0;8;0;6;0;0;9;0
0;6;0;0;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;7;0
6;0;0;0;10;9;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;8;0
8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;9;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
0;0;0;0;0;0;0;0;0;0;10;0;7;0;0;0;0;0;9;0;8;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;10
0;0;0;0;0;0;0;0;0;0;0;9;8;0;0;7;0;0;0;0;0;10;0
0;10;0;0;0;0;6;0;0;0;0;8;7;0;0;0;0;0;0;0;0;9;0
10;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;6;9
0;8;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
10;0;9;8;0;0;0;0;0;0;0;0;0;6;5;0;4;0;0;0;0;0;7
0;8;0;0;0;10;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;7
0;0;0;0;10;9;0;0;8;0;0;0;0;0;0;0;7;0;0;0;0;6;0
0;0;0;0;5;0;0;0;0;0;4;7;6;0;0;8;0;0;0;0;0;10;9
0;0;7;10;0;0;0;9;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;8;0;0;0;0;10;7;0;0;0;0;0;9;0
7;0;9;8;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
6;0;10;5;0;0;0;0;0;0;8;7;0;0;9;0;0;0;0;0;0;0;0
#end
